trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.999}",20,0,-134.03987817970096,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.998}",20,13,4.729464611539071,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.997}",30,0,-254.01677996999888,"{0: 13, 1: 3, 2: 9, 3: 2, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.996}",25,0,-184.9905676661507,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.6, 'e': 0.995}",25,0,-90.76067280403976,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.994}",25,0,-110.0773310885405,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.993}",20,0,-150.59657540228793,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.992}",20,0,-69.96315126802988,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.991}",25,0,-134.4444556172595,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.99}",35,0,-192.79607281113155,"{0: 20, 1: 5, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.989}",25,0,-267.83656673322844,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 5}",0
12,False,"{'a': 0.6, 'e': 0.988}",30,0,-255.030397166512,"{0: 13, 1: 6, 2: 4, 3: 4, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.987}",30,0,-158.69023557580738,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.986}",25,0,-187.61097540834675,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.6, 'e': 0.985}",25,0,-163.51473804305954,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.6, 'e': 0.984}",20,0,-102.06293968893894,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.983}",30,0,-124.97623244366659,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.982}",20,0,-150.71851419103726,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.981}",20,0,-57.826457017937656,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.98}",20,0,-120.56946386043055,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
