trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.999}",20,0,-90.12626237387494,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.998}",20,0,-123.4514522570937,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.997}",35,15,-100.32919842925955,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.6, 'e': 0.996}",20,0,-131.78231549721687,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.995}",25,0,-191.3635116103077,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.994}",25,0,-53.97243144241804,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.993}",20,0,-92.82629084664121,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.992}",20,0,-75.45414036895325,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.991}",20,5,-120.52973867613028,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 2}",1
10,False,"{'a': 0.6, 'e': 0.99}",20,0,-122.04175801346895,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.989}",20,0,-161.0332079425897,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.988}",20,7,-108.17784557034504,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.6, 'e': 0.987}",20,0,-101.08678020664398,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.986}",20,0,-144.48426248177861,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.985}",25,0,-157.1004217237461,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.984}",35,22,-47.89479477098494,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.6, 'e': 0.983}",20,5,-49.205586390282456,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.6, 'e': 0.982}",25,0,-244.3481161795329,"{0: 8, 1: 6, 2: 6, 3: 2, 4: 3}",0
19,False,"{'a': 0.6, 'e': 0.981}",25,0,-194.26898379562908,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.6, 'e': 0.98}",30,0,-152.11083522746776,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-102.29556466045236,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-118.79351874231745,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-150.47389622309967,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-153.99385557218716,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-129.03788633761042,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-66.80331861303117,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-113.18213205122072,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-152.126038627495,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,13,3.0782745081496032,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-95.14577460213789,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",1
